C0274714,Adrenergic syndrome
C0476089,Endometrial Carcinoma
C0155169,Ocular hyperemia
C0233715,Speech impairment
C0221201,Macular rash
C0233718,Pressure of speech
C0522055,Electrocardiogram abnormal
C0520966,Abnormal coordination
C0520962,Pain localised
C0553732,Prothrombin level decreased
C0857121,Hypertensive (finding)
C0015256,Excoriation
C0001622,Adrenal Gland Hyperfunction
C0522058,Carbohydrate craving
C0851710,Exfoliative conditions
C2830004,Somnolence
C0010043,Corneal Ulcer
C0236663,Alcohol withdrawal syndrome
C0085166,Bacterial Vaginosis
C0272774,Foot fracture
C0239488,Erythema facial
C0221512,Stomach ache
C0178416,Hypoplastic anemia
C0178417,Anhedonia
C0015672,Fatigue
C0877664,Gastrointestinal cramps
C1510410,Sense of smell altered
C0151830,Pain in urethra
C0236124,Gastrointestinal obstruction
C0858589,Coordination disturbance
C0549376,Plasma osmolality decreased
C0549374,Lumbar disc lesion
C0281825,Dysequilibrium
C0042075,Urologic Diseases
C0948294,Eyelid margin crusting
C0342257,Complications of Diabetes Mellitus
C0014724,Eructation
C0013384,Dyskinetic syndrome
C0032519,Polymenorrhea
C0151898,Schizophrenic reaction
C0853755,Blood osmolarity decreased
C0015923,Fetal Alcohol Syndrome
C0015927,Fetal Death
C0600041,Infective cystitis
C0149745,Oral Ulcer
C0241310,Suprapubic pain
C0035459,"Rhinitis, Atrophic"
C0043251,Wounds and Injuries
C0043250,Injury wounds
C0917798,Cerebral Ischemia
C0917799,Hypersomnia
C0274435,Transfusion Reaction
C0022660,"Kidney Failure, Acute"
C0022665,Kidney Neoplasm
C0272426,Mouth injury
C0017601,Glaucoma
C0017605,Angle Closure Glaucoma
C0022116,Ischemia
C0028754,Obesity
C0151872,Prothrombin level increased
C0151878,Electrocardiogram QT prolonged
C0151505,Application site reaction
C0231170,Disability
C0151500,Anticholinergic Syndrome
C0013144,Drowsiness
C0150055,Chronic pain
C0013146,Drug abuse
C0854114,Corneal epithelium defect
C0151899,Syndrome screaming
C0009782,Connective Tissue Diseases
C0026764,Multiple Myeloma
C0026766,Multiple Organ Failure
C0006152,Breast swelling
C0026769,Multiple Sclerosis
C0151479,Amylase increased
C0151478,Neurotransmitter level altered
C0231710,Pain in buttock
C1522133,Hypercholesterolemia result
C0600260,"Lung Diseases, Obstructive"
C0032776,Postmenopausal haemorrhage
C0151474,Alcohol intolerance
C0151477,Hormone level abnormal
C0009492,Compartment syndromes
C0750426,White blood cell count increased (lab result)
C0917801,Sleeplessness
C0235490,Peripheral ischaemia
C0242459,Simple Pulmonary Eosinophilia
C0035204,Respiration Disorders
C0574002,Edema of foot (finding)
C0948296,Ear discomfort
C1096250,Gastrointestinal discomfort
C0034359,Pyuria
C0694536,Drug seeking behavior
C0028173,"Nitrogen, non-protein, increased level result"
C0235475,Electrocardiogram QRS complex prolonged
C0041657,Unconscious State
C0525045,Mood Disorders
C3544214,Reversible cerebral vasoconstriction syndrome
C0026961,Mydriasis
C0234632,Visual acuity reduced
C0270846,Atonic seizures
C0007682,CNS disorder
C0542052,Coronary artery insufficiency
C0339807,House dust allergy
C0748726,Allergic sinusitis
C0278134,Absence of sensation
C0744130,Diabetic foot infection
C0702166,Acne
C0238309,Ischaemic neuropathy
C0242528,Azotemia
C0476273,Respiratory distress
C0235270,Keratopathy
C0392674,Exhaustion
C0392676,Hyperpyrexia
C0948856,Orgasmic sensation decreased
C0023222,Pain in lower limb
C0854382,Libido disorder
C0854381,Genital hemorrhage
C0020538,Hypertensive disease
C0338908,Anxiety depression
C0271429,Otitis media acute
C0235653,Malignant neoplasm of female breast
C0234708,Intraocular pressure increased
C1619712,Procedural pain
C0037023,Sialadenitis
C0542476,Forgetfulness
C1145628,Autonomic nervous system disorders
C0585186,Cutaneous hypersensitivity
C0011124,Decreased Libido
C0542184,Reaction gastrointestinal
C1386135,Acute depression
C0595928,Serum calcium increased
C0020625,Hyponatremia
C0020624,Hypomenorrhea
C0020621,Hypokalemia
C0020620,Hypohidrosis
C0023532,"Leukoplakia, Oral"
C0023533,Leukorrhea
C0023530,Leukopenia
C0744403,Gingival infection
C0004144,Atelectasis
C0151904,Aspartate aminotransferase increased
C0239725,Genital pain
C0235876,Depression aggravated
C0920171,Foreign body sensation in eyes
C0235874,Disease Exacerbation
C0548823,Distress gastrointestinal
C0034642,Rales
C0024437,Macular degeneration
C0233767,"Hallucinations, Tactile"
C0233762,"Hallucinations, Auditory"
C0233763,"Hallucinations, Visual"
C0434437,Joint sprain
C0860942,Creatine increased
C0553721,Sweating decreased
C0034212,Pyoderma
C0038273,Stereotypic Movement Disorder
C0232849,Bladder pain
C0019360,Herpes zoster disease
C0033036,Atrial Premature Complexes
C0019364,Herpes Zoster Ophthalmicus
C0015397,Disorder of eye
C0033038,Premature Ejaculation
C0041948,Uremia
C0015393,Eye Abnormalities
C0011263,Multi-infarct dementia
C0877046,Tooth infection
C0015663,Fasting
C0267797,Hepatitis acute
C0014534,Epididymitis
C0853619,Local swelling
C0033581,Prostatitis
C1960870,Transformed migraine
C0015806,Femoral Neck Fractures
C1263846,Attention deficit hyperactivity disorder
C0239454,Erythema of eyelid
C0035305,Retinal Detachment
C0549346,Ischial neuralgia
C0022904,Lacrimal Apparatus Diseases
C0022906,Lacrimal Duct Obstruction
C0237938,Gastrointestinal ulcer
C1971624,Loss of appetite (finding)
C0877014,Sympathomimetic Effect
C0042063,Urogenital Abnormalities
C0025274,Menarche
C0152227,Excessive tearing
C0221727,Pain in esophagus (finding)
C0008311,Cholangitis
C0028960,Oligospermia
C0028961,Oliguria
C0003910,Articulation Disorders
C0156543,Unspecified Abortion
C0013395,Dyspepsia
C0013390,Dysmenorrhea
C3665346,Unspecified visual loss
C0949083,Nosocomial pneumonia
C0236068,Swollen tongue
C0947858,Anaphylactic responses
C0836924,Thrombocytosis
C0032617,Polyuria
C0018818,Ventricular Septal Defects
C1959622,Vein engorged (finding)
C0948594,Musculoskeletal discomfort
C0948595,Ocular discomfort
C0018944,Hematoma
C0018946,"Hematoma, Subdural"
C0040137,Thyroid Nodule
C0027707,"Nephritis, Interstitial"
C0028768,Obsessive-Compulsive Disorder
C0856171,Coronary artery disease aggravated
C0948441,Venoocclusive disease
C0948447,Chromosomal mutation
C0410158,Muscle damage
C0024138,"Lupus Erythematosus, Discoid"
C0519030,Pneumonia due to Klebsiella pneumoniae
C0013404,Dyspnea
C0151313,Sensory neuropathy
C0151315,Neck stiffness
C1096668,Instillation site irritation
C0031085,Periodontal Abscess
C0026265,Diseases of mitral valve
C0016658,Fracture
C0600104,Obsessive compulsive behavior
C0232841,Bladder dysfunction
C0036916,Sexually Transmitted Diseases
C0270327,Bedwetting
C0023051,Laryngeal Diseases
C0018834,Heartburn
C0023052,Laryngeal Edema
C0241157,Pustule
C0476414,Thyroid function test abnormal
C0151798,Hepatic necrosis
C0151799,Skin necrosis
C2939186,Disturbance in mood
C0034902,Pure Red-Cell Aplasia
C0235267,Redness of eye
C0235266,Eye irritation
C0700590,Increased sweating
C0206277,Fatal Outcome
C0344315,Depressed mood
C0242339,Dyslipidemias
C0206504,Tympanic Membrane Perforation
C0016479,Food Poisoning
C0020433,Hyperbilirubinemia
C0020437,Hypercalcemia
C3665386,Abnormal vision
C0020438,Hypercalciuria
C0017412,"Genital Diseases, Male"
C0017411,Female Genital Diseases
C0234022,Anorgasmia
C0003175,Anthrax disease
C0041667,Underweight
C0026975,Myelitis
C0392525,Nephrolithiasis
C0678222,Breast Carcinoma
C0030846,Penile Diseases
C0235002,Head discomfort
C0240557,Nasal irritation
C0035522,Rib Fractures
C2364111,Actual Inability To Taste
C1167709,Epidermal necrosis
C0521845,Drug effect decreased
C0341164,Bleeding gastric ulcer
C0085762,Alcohol abuse
C0155365,Vitreous disorder
C0521161,Vasculitic rash
C0020505,Hyperphagia
C0040434,Tooth Discoloration
C0040435,Tooth Diseases
C0040436,Tooth Erosion
C0270458,Psychotic depression
C0039070,Syncope
C0271454,Chronic suppurative otitis media
C0424296,Social disinhibition
C0427160,Parkinsonian gait
C0033893,Tension Headache
C0270922,Demyelinating polyneuropathy
C0265122,Disorder of pericardium
C0234518,Slurred speech
C0007078,Carbuncle
C0036508,Seborrheic dermatitis
C0034013,Precocious Puberty
C0149778,Soft Tissue Infections
C0349217,"Depressive episode, unspecified"
C0277585,Drug intolerance
C0007859,Neck Pain
C0595916,Nephropathy toxic
C3203646,Bilirubin total decreased
C0015644,Muscular fasciculation
C0020615,Hypoglycemia
C0154301,Secondary thrombocytopenia
C0241442,Protrusion tongue
C0042267,Vaginitis
C0233558,Temper tantrum
C1321898,Blood in stool
C0239739,Tenderness of gums
C0424230,Motor retardation
C0542313,Sleep Talking
C0019572,Hirsutism
C0338614,Psychotic episode
C0155789,Bleeding esophageal varices
C0079043,Bronchoconstriction
C0017181,Gastrointestinal Hemorrhage
C0042384,Vasculitis
C0015230,Exanthema
C0005778,Blood coagulation
C0005779,Blood Coagulation Disorders
C0037274,Dermatologic disorders
C0403723,Candiduria
C0038045,Sprain
C0151713,Hyperchlorhydria
C0021368,Inflammation
C0021364,Male infertility
C0037278,"Skin Diseases, Infectious"
C0152030,Skin irritation
C0152031,Joint swelling
C0152032,Urinary hesitation
C0025061,Mediastinal Diseases
C0024517,"Major depressive disorder, single episode"
C2607947,Unilateral deafness
C0553668,Labored breathing
C0241934,Hypomania
C0042485,Venous Insufficiency
C0043387,Yawning
C0277925,Peripheral coldness
C0549356,Inflicted injury
C0018621,Hay fever
C0858259,Nasal discomfort
C0410740,Acquired deformity of finger
C0043012,Wakefulness
C0033117,Priapism
C0376356,Premenstrual Tension
C0376358,Malignant neoplasm of prostate
C0435001,Ligament injury
C0877009,Muscle fibrosis
C0013362,Dysarthria
C0014743,Erythema Nodosum
C0014742,Erythema Multiforme
C0263978,Soft tissue disorder
C0013369,Dysentery
C0022281,Itching of eye
C0235222,Diastolic hypertension
C0027424,Nasal congestion (finding)
C0033687,Proteinuria
C0232286,Precordial pain
C0220870,Lightheadedness
C0948002,Crystal urine present
C0236071,Throat tightness
C0026113,Miliaria
C0236075,Menopausal symptoms
C0001430,Adenoma
C0852909,Blood bicarbonate decreased
C0156312,Testicular atrophy
C0018021,Goiter
C0852733,Completed Suicide
C0028778,Obstruction
C0232910,Teratogenesis
C1384666,Hearing impairment
C1579838,Sore mouth
C0920108,Fasting blood glucose increased
C0033975,Psychotic Disorders
C1536075,Sudden unexplained death in epilepsy
C0026603,Motion Sickness
C0232602,Retching
C0085576,Iron-Refractory Iron Deficiency Anemia
C0085577,Normocytic anemia
C0231807,Dyspnea on exertion
C0016663,Pathological fracture
C0085570,Hypokalemic alkalosis
C0012569,Diplopia
C0740411,Delayed gastric emptying
C0556446,Drug craving
C0039240,Supraventricular tachycardia
C0018843,Heat Stroke
C0013182,Drug Allergy
C0851362,General disorders and administration site conditions
C0553713,BREAST PAIN FEMALE
C0034933,"Reflex, Abnormal"
C0009676,Confusion
C0038534,Subconjunctival hemorrhage
C0240417,Muscle mass
C0151786,Muscle Weakness
C0456909,Blind Vision
C0031099,Periodontitis
C0038160,Staphylococcal Infections
C0027404,Narcolepsy
C0016867,Furunculosis
C0235259,Cataract subcapsular
C0035220,"Respiratory Distress Syndrome, Newborn"
C0035222,"Respiratory Distress Syndrome, Adult"
C0006625,Cachexia
C0242301,Furuncle
C0035229,Respiratory Insufficiency
C0750394,White blood cell count decreased
C1963951,Acute overdose
C0027343,"Nails, Ingrown"
C0574067,Cough increased
C0000768,Congenital Abnormality
C0020429,Hyperalgesia
C0278045,Urine odour abnormal
C0041671,Attention Deficit Disorder
C0018808,Heart murmur
C0015732,Fecal Incontinence
C0235032,Neurotoxicity Syndromes
C0543698,Hypersensitive syndrome
C0023380,Lethargy
C0006444,Bursitis
C0011581,Depressive disorder
C0010520,Cyanosis
C0232493,Epigastric pain
C0344232,Blurred vision
C1096340,Dysphemia
C1096343,Infusion site reaction
C0020514,Hyperprolactinemia
C0020517,Hypersensitivity
C0242785,Food-Drug Interactions
C1262141,Poor quality sleep
C0858814,Hepatitis symptom
C0040427,Tooth Abnormalities
C0040425,Tonsillitis
C0233415,Distractibility
C0497247,Increase in blood pressure
C0030583,Parotitis
C0149904,Hepatitis cholestatic
C1619733,Gout flare
C0085688,Breast engorgement
C0085684,Footdrop
C0023066,Laryngismus
C0085680,Hypochloremia (disorder)
C0085681,Hyperphosphatemia (disorder)
C0085682,Hypophosphatemia
C0018995,Hemochromatosis
C0423273,Scleral thinning
C0546959,Atrial tachycardia
C0546956,Trachyonychia
C0007867,Cervix Diseases
C0006849,Oral candidiasis
C0034067,Pulmonary Emphysema
C0007860,Uterine Cervicitis
C0034063,Pulmonary Edema
C0006840,Candidiasis
C0034068,Pulmonary Eosinophilia
C0034069,Pulmonary Fibrosis
C0149741,Nipple discharge
C0455769,Energy increased
C0422980,Oscillopsia
C0278061,Abnormal mental state
C0020604,Hypochondriasis
C0235592,Lymphadenopathy cervical
C0554976,Bradyphrenia
C0030920,Peptic Ulcer
C0233565,Bradykinesia
C0242151,Violent
C0851664,Bullous conditions
C0006905,Capillary Fragility
C0235818,Bullous eruption
C0004161,Athletic Injuries
C0010674,Cystic Fibrosis
C0595877,Blood glucose increased
C0575081,Gait abnormality
C0021177,Increased Libido
C0267792,Hepatobiliary disease
C0024299,Lymphoma
C0020903,Illusions
C0155428,Otosalpingitis
C0596170,Binge eating disorder
C0001883,Airway Obstruction
C0021390,Inflammatory Bowel Diseases
C0039503,Tendinitis
C0278488,Carcinoma breast stage IV
C0161479,Nerve injury
C0019147,Hepatic Coma
C0152027,Sensory Disorders
C0425669,Abdominal aortic bruit
C0152025,Polyneuropathy
C0085616,Vasospasm
C0152029,Sinus congestion
C3263723,Traumatic injury
C0857576,Thyroid function abnormal
C0002994,Angioedema
C0002624,Retrograde amnesia
C0002622,Amnesia
C0014518,Toxic Epidermal Necrolysis
C0086438,Hypogammaglobulinemia
C2586050,Ulcerative esophagitis
C0312422,Blackout - symptom
C0438215,Laboratory test abnormal
C0085569,Acidosis hyperchloraemic
C0037317,Sleep disturbances
C0037315,Sleep Apnea Syndromes
C0877035,Estrogen Effect
C0018524,Hallucinations
C0162275,Ketonuria
C0014356,Enterocolitis
C0553704,Serum potassium increased
C0037299,Skin Ulcer
C0015734,Fecal Impaction
C0014179,Endometritis
C0853700,Application site erythema
C0013378,Dysgeusia
C0014175,Endometriosis
C0028949,Oligomenorrhea
C0014457,Eosinophilia
C0027430,Nasal Polyps
C0232292,Chest tightness
C0011334,Dental caries
C0022638,Ketosis
C0853226,International normalised ratio decreased
C0036130,Salpingitis
C0232766,Asterixis
C0236048,"Polyposis, Gastric"
C0086439,Hypokinesia
C0042138,Uterine Neoplasms
C0018520,Halitosis
C0042133,Uterine Fibroids
C0439857,Dependence
C0042134,Uterine hemorrhage
C0011991,Diarrhea
C0022107,Irritable Mood
C0027497,Nausea
C0233488,Feeling despair
C0003467,Anxiety
C0455769,Energy increased
C0003467,Anxiety
C0393761,Middle insomnia
C0043012,Wakefulness
C0270458,Psychotic depression
C0520962,Pain localised
C2939186,Disturbance in mood
C0424295,Hyperactive behavior
C0152128,Drug withdrawal syndrome
C0541854,Daytime sleepiness
C0541941,Erection increased
C0003467,Anxiety
C0233407,Disorientation
C0042963,Vomiting
C0233794,Memory impairment
C0018524,Hallucinations
C0027497,Nausea
C0039971,Thirst
C2830004,Somnolence
C0917801,Sleeplessness
C0003467,Anxiety
C0220870,Lightheadedness
C0018790,Cardiac Arrest
C0455769,Energy increased
C0003467,Anxiety
C0022107,Irritable Mood
C0043094,Weight Gain
C0220870,Lightheadedness
C0232431,Cold sweat
C0549385,Feeling of body temperature change
C0600104,Obsessive compulsive behavior
C0043094,Weight Gain
C0016512,Foot pain
C0233414,Disturbance in attention
C0037320,Night Terrors
C0152128,Drug withdrawal syndrome
C0022107,Irritable Mood
C0600104,Obsessive compulsive behavior
C0520962,Pain localised
C0027497,Nausea
C0043012,Wakefulness
C0087169,Withdrawal Symptoms
C0553668,Labored breathing
C0393761,Middle insomnia
C0087169,Withdrawal Symptoms
C2242996,Has tingling sensation
C1443060,Feeling abnormal
C0027497,Nausea
C0018524,Hallucinations
C0220870,Lightheadedness
C0455769,Energy increased
C2830004,Somnolence
C0013144,Drowsiness
C0013146,Drug abuse
C0028643,Numbness
C0235198,Unable to concentrate
C0853348,Arthropod bite
C0027497,Nausea
C0233488,Feeling despair
C0278061,Abnormal mental state
C0728899,Intoxication
C0022107,Irritable Mood
C2939186,Disturbance in mood
C0917801,Sleeplessness
C0542476,Forgetfulness
C0086132,Depressive Symptoms
C0041657,Unconscious State
C0043094,Weight Gain
C0043094,Weight Gain
C0455769,Energy increased
C0270458,Psychotic depression
C0037383,Sneezing
C0004936,Mental disorders
C0497364,Localized rash
C0030193,Pain
C2939186,Disturbance in mood
C0233514,Abnormal behavior
C0235169,Excitability
C0038999,Swelling
C0476273,Respiratory distress
C0012833,Dizziness
C0030252,Palpitations
C1263846,Attention deficit hyperactivity disorder
C0027497,Nausea
C0455769,Energy increased
C0235146,Euphoric mood
C0043094,Weight Gain
C0022107,Irritable Mood
C0427086,Involuntary Movements
C0344315,Depressed mood
C1456784,Paranoia
C2830004,Somnolence
C0917801,Sleeplessness
C0037317,Sleep disturbances
C0853348,Arthropod bite
C2830004,Somnolence
C0043012,Wakefulness
C0221785,Ache wrists
C0013144,Drowsiness
C1510472,Drug Dependence
C0037274,Dermatologic disorders
C0476273,Respiratory distress
C0149931,Migraine Disorders
C0232462,Decrease in appetite
C0393760,Initial insomnia
C0022107,Irritable Mood
C2830004,Somnolence
C0015672,Fatigue
C1443060,Feeling abnormal
C0596170,Binge eating disorder
C0424000,Feeling suicidal (finding)
C0011551,Depersonalization
C0393760,Initial insomnia
C0033975,Psychotic Disorders
C1291077,Abdominal bloating
C0038999,Swelling
C0235169,Excitability
C0600104,Obsessive compulsive behavior
C0232461,Increased appetite (finding)
C0455769,Energy increased
C0549385,Feeling of body temperature change
C0152030,Skin irritation
C0232461,Increased appetite (finding)
C1443060,Feeling abnormal
C0027497,Nausea
C0393760,Initial insomnia
C0270458,Psychotic depression
C0087169,Withdrawal Symptoms
C0043094,Weight Gain
C0043012,Wakefulness
C2939186,Disturbance in mood
C0015672,Fatigue
C0009676,Confusion
C2939186,Disturbance in mood
C0235169,Excitability
C0278061,Abnormal mental state
C0028643,Numbness
C0012833,Dizziness
C0455769,still not tired
C0455769,Energy increased
C0424295,cant shut up for the whole day
C0424295,Hyperactive behavior
C0030193,pain
C0030193,Pain
C0043012,Wakefulness
C0087169,Miss your Prozac does
C0087169,Withdrawal Symptoms
C0013182,allergic
C0013182,Drug Allergy
C0003469,zero stress tolerance
C0003469,Anxiety Disorders
C0424295,Hyperactive behavior
C0028643,paraplegic
C0028643,Numbness
C0003123,Anorexia
C1443060,feel like a malnourished toe
C1443060,Feeling abnormal
C0086132,hard days
C0086132,Depressive Symptoms
C0235165,mania
C0235165,Mania acute
C0476273,asthma
C0476273,Respiratory distress
C0018524,feeling like the same day
C0018524,Hallucinations
C0030319,anxiety
C0030319,Panic Disorder
C0424295,FUCKED UP
C0424295,Hyperactive behavior
C0087169,withdrawal symptoms
C0087169,Withdrawal Symptoms
C0917801,can't remember the last time I slept
C0917801,Sleeplessness
C2267227,purge
C2267227,Bulimia Nervosa
C0520962,butt pain
C0520962,Pain localised
C0022107,unnecessarily impatient
C0022107,Irritable Mood
C2830004,asleep
C2830004,Somnolence
C0427008,stiffness
C0427008,Stiffness
C0152128,crashing
C0152128,Drug withdrawal syndrome
C0424295,hyper
C0424295,Hyperactive behavior
C0034634,Rage
C0022107,I feel like
C0022107,Irritable Mood
C0038013,Spondylitis
C0038013,Ankylosing spondylitis
C0278061,brain fug
C0278061,Abnormal mental state
C0003467,anxiety
C0003467,Anxiety
C0278061,losing my mind
C0278061,Abnormal mental state
C0455769,got me to the ceiling
C0455769,Energy increased
C0003469,anxiety
C0003469,Anxiety Disorders
C0085633,VOLATILE
C0085633,Mood swings
C0028643,my pinky toe feel like it was chopped clean off
C0028643,Numbness
C0011570,depression
C0011570,Mental Depression
C0393760,#insomnia
C0393760,Initial insomnia
C0043096,making me.natural weight
C0043096,Body Weight decreased
C2939186,had me in my feelings
C2939186,Disturbance in mood
C2939186,had me in my feelings
C2939186,Disturbance in mood
C1504494,tingling
C1504494,Tingling of extremity
C0410158,rotted my muscles
C0410158,Muscle damage
C0455769,productive
C0455769,Energy increased
C0043012,wide awake
C0043012,Wakefulness
C1971624,lack of appetite
C1971624,Loss of appetite (finding)
C0235169,got me to the ceiling
C0235169,Excitability
C0520962,"muscular, joint, nerve pain"
C0520962,Pain localised
C0162298,joints are also hurting
C0162298,Joint stiffness
C0233632,expense of clear thinking
C0233632,Disturbance in thinking
C0035078,kidneys shut down
C0035078,Kidney Failure
C0000737,awful feeling in my stomach
C0000737,Abdominal Pain
C0424091,makes motivation hard
C0424091,Decreased interest
C0235169,hyped
C0235169,Excitability
C0424295,wired
C0424295,Hyperactive behavior
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0917801,WIDE AWAKE
C0917801,Sleeplessness
C0011551,feel like a zombie
C0011551,Depersonalization
C0149931,migraines
C0149931,Migraine Disorders
C0241934,hypomania
C0241934,Hypomania
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0037011,hurt his shoulder
C0037011,Shoulder Pain
C0232461,eating to survive
C0232461,Increased appetite (finding)
C0003467,anxiety
C0003467,Anxiety
C0233523,act like a devil
C0233523,Antisocial behavior
C0917801,Insomnia
C0917801,Sleeplessness
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0013146,got me like
C0013146,Drug abuse
C1510472,#Junkie
C1510472,Drug Dependence
C0149931,migraines
C0149931,Migraine Disorders
C0917801,LACKING SEVERELY IN SLEEP
C0917801,Sleeplessness
C0241934,hypomanic
C0241934,Hypomania
C0233414,still procrastinating
C0233414,Disturbance in attention
C0004604,back ache
C0004604,Back Pain
C0409497,two cortisone injections to get my shoulder right
C0409497,Joint injury
C0555724,dry mouth
C0555724,On examination - dry lips
C0043094,Weight Gain
C0013182,allergic reaction
C0013182,Drug Allergy
C0008031,my chest is exploding
C0008031,Chest Pain
C0043012,wake you up
C0043012,Wakefulness
C0011991,very mild diarrhea
C0011991,Diarrhea
C0020175,hungry
C0020175,Hunger
C0010346,Crohns
C0010346,Crohn Disease
C0027497,Nausea
C0424295,wast tired
C0424295,Hyperactive behavior
C0022107,hangry
C0022107,Irritable Mood
C0541854,making myself get out of bed
C0541854,Daytime sleepiness
C0030193,worst pain
C0030193,Pain
C0027497,nauseous
C0027497,Nausea
C0520962,makes my fingers hurt
C0520962,Pain localised
C1971624,I don't hunger or thirst
C1971624,Loss of appetite (finding)
C0917801,insomnia
C0917801,Sleeplessness
C0233407,spins
C0233407,Disorientation
C1963951,doubling up on my adderall
C1963951,Acute overdose
C0011071,sudden death
C0011071,Sudden death
C0235169,in my feelings
C0235169,Excitability
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0030193,hurt
C0030193,Pain
C0278061,completely bonkers
C0278061,Abnormal mental state
C0043096,lost 6 inches
C0043096,Body Weight decreased
C0002957,mad
C0002957,Anger
C0549249,dopey
C0549249,Depressed Level of Consciousness
C0018681,headaches
C0018681,Headache
C0455769,"feeling something now,"
C0455769,Energy increased
C0000737,sharp pain
C0000737,Abdominal Pain
C0541854,tired
C0541854,Daytime sleepiness
C0043096,losing weight
C0043096,Body Weight decreased
C0556446,addicted
C0556446,Drug craving
C0009676,conundrum
C0009676,Confusion
C0596170,binge
C0596170,Binge eating disorder
C1443060,ITS MAKING ME CRAZY
C1443060,Feeling abnormal
C1443060,feel weird
C1443060,Feeling abnormal
C2830004,Somnolence
C0232462,haven't eaten since like 9
C0232462,Decrease in appetite
C0549259,incr anxiety
C0549259,Anxiety aggravated
C0028643,Foot numb
C0028643,Numbness
C0003467,anxiety
C0003467,Anxiety
C0917801,incapable of sleep
C0917801,Sleeplessness
C2830004,Somnolence
C0011570,Miss your Prozac does
C0011570,Mental Depression
C0344315,miserable
C0344315,Depressed mood
C0013144,intense yawns
C0013144,Drowsiness
C0043094,gaining weight
C0043094,Weight Gain
C0392674,so fucking tired
C0392674,Exhaustion
C0043096,weight loss
C0043096,Body Weight decreased
C2937350,nut came out like water
C2937350,Abnormal ejaculation
C0917801,still haven't slept
C0917801,Sleeplessness
C0424166,need space &amp; to be alone
C0424166,Social fear
C0004936,I hate doctors and meds
C0004936,Mental disorders
C0232459,Stomach messed up
C0232459,Abnormal digestive tract function
C0233459,have no emotions
C0233459,Emotional disorder
C0541854,falling asleep
C0541854,Daytime sleepiness
C0003469,ANXIOUS
C0003469,Anxiety Disorders
C0043096,Body Weight decreased
C0011570,depression
C0011570,Mental Depression
C0011551,a zombie
C0011551,Depersonalization
C0233514,act fucking weird
C0233514,Abnormal behavior
C0240735,not myself
C0240735,Personality change
C0022107,pissed off about everything
C0022107,Irritable Mood
C0018801,heart attack
C0018801,Heart failure
C0040822,tremor
C0040822,Tremor
C0030193,pain
C0030193,Pain
C0086769,panic attacks
C0086769,Panic Attacks
C0455769,got me to the ceiling
C0455769,Energy increased
C0344320,gives me man vivid dreams
C0344320,Vivid dreams
C0005586,#bipolar
C0005586,Bipolar Disorder
C0038435,stressed
C0038435,Stress
C0541854,sleep the day away
C0541854,Daytime sleepiness
C0022107,pissed off
C0022107,Irritable Mood
C0344315,depress
C0344315,Depressed mood
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0235195,a mellow zombie
C0235195,Sedated state
C0003467,anxiety
C0003467,Anxiety
C0021053,destroyed my #immunesystem
C0021053,Immune System Diseases
C0087169,withdrawal
C0087169,Withdrawal Symptoms
C0013144,sleepy
C0013144,Drowsiness
C0018681,mild headache
C0018681,Headache
C0022107,sour mood
C0022107,Irritable Mood
C0013144,Drowsiness
C0344315,hurting
C0344315,Depressed mood
C0030193,throbbing!
C0030193,Pain
C0043094,the 10 lbs I gained
C0043094,Weight Gain
C0030193,hurting
C0030193,Pain
C0455769,walking up and down
C0455769,Energy increased
C0087169,Discontinuation
C0087169,Withdrawal Symptoms
C1971624,not being able to eat
C1971624,Loss of appetite (finding)
C0013144,drowsy
C0013144,Drowsiness
C0004096,asthma
C0004096,Asthma
C0013146,HIGH
C0013146,Drug abuse
C0233523,anti social
C0233523,Antisocial behavior
C3536794,feel like shit
C3536794,Sad mood
C0013144,drowsy
C0013144,Drowsiness
C0027497,nauseous
C0027497,Nausea
C0410158,rotted my muscles out
C0410158,Muscle damage
C0270549,anxiety
C0270549,Generalized Anxiety Disorder
C0234238,pain
C0234238,Ache
C2830004,sleep all day
C2830004,Somnolence
C0037317,Got 1.5 hours of sleep
C0037317,Sleep disturbances
C0344315,bummed
C0344315,Depressed mood
C2830004,fall asleep
C2830004,Somnolence
C0041657,knock me out
C0041657,Unconscious State
C0086769,panic
C0086769,Panic Attacks
C1971624,lose my appetite
C1971624,Loss of appetite (finding)
C0027497,Finna thrown up
C0027497,Nausea
C0022107,cranky
C0022107,Irritable Mood
C0003044,mosquito bites
C0003044,Animal bite
C0087169,withdrawal symptoms
C0087169,Withdrawal Symptoms
C0858899,focused
C0858899,Attention concentration difficulty
C0233401,feeling proper psycho
C0233401,Psychiatric symptom
C0085633,mood swings
C0085633,Mood swings
C0085632,soulless robot
C0085632,Indifferent mood
C0728899,groggy
C0728899,Intoxication
C0281774,psychosis
C0281774,Acute psychosis
C0002957,monster
C0002957,Anger
C2939186,had me in my feelings
C2939186,Disturbance in mood
C0270458,bipolar
C0270458,Psychotic depression
C0042109,#hivewatch
C0042109,Urticaria
C0013144,weak and woozy
C0013144,Drowsiness
C0600104,I unnecessarily wipe for 20 minutes until I'm practically bleeding
